DBNLti_id	DBNLpers_id	YearFirstPublished	YearEditionPublished	Edition	Woman	Born	Died	AuthorOrigin	DBNLgeb_land_code	DBNLgenre	DBNLsubgenre	Author	Title	Filename	ti_id_set	WPAuthor	AuthorInCanon2002	TitleInCanon2002	InBasisbibliotheek2008	AuthorDBRDMatches	AuthorNLWikipedia2019Matches	DBNLSecRefsAuthor	DBNLSecRefsTitle	holding	lending	GNTpages
coup002berg02	coup002	1905	1993	1ste druk	0	1863	1923	Den Haag		proza	roman	Louis Couperus	De berg van licht	coup002berg02_01.xml	coup002berg01,coup002berg02	Louis Couperus	1	1	0	28	197	372	15	0	0	2
coup002vano01	coup002	1905	1988	1ste druk	0	1863	1923	Den Haag		proza	roman	Louis Couperus	Van oude menschen, de dingen, die voorbijgaan...	coup002vano01_01.xml	coup002vano01,coup002vano03	Louis Couperus	1	0	1	28	197	372	22	9	18	2
eman001waan01	eman001	1905	1968	2de druk	0	1848	1923	Voorburg		proza	roman	Marcellus Emants	Waan	eman001waan01_01.xml	eman001waan02,eman001waan01	Marcellus Emants	1	0	0	3	13	102	6	0	0	20
ever121klei01	ever121	1905	1905	1ste druk	1					proza,jeugdliteratuur	roman,vertaling: Brits-Engels / Nederlands	Evelyn Everett Green	Kleine lady Clare	ever121klei01_01.xml	ever121klei01		0	0	0	0	0	0	0	0	0	0
gogh002rika01	gogh002	1905	1917	2de druk	1	1869	1960	Velsen		proza	roman	Anna van Gogh-Kaulbach	Rika	gogh002rika01_01.xml	gogh002rika02,gogh002rika01	Anna van Gogh-Kaulbach	0	0	0	0	2	67	6	0	0	5
hoek132manv01	hoek132	1905	1905	1ste druk	0					proza	roman,detective	Henri van der Hoek	De man van Timbuctu	hoek132manv01_01.xml	hoek132manv01		0	0	0	0	0	0	0	0	0	0
hove006naar01	hove006	1905	1905	1ste druk	1	1860	1941	Den Haag		proza	roman	Thérèse Hoven	Naar Holland en terug	hove006naar01_01.xml	hove006naar01	Thérèse Hoven	0	0	0	0	0	28	0	0	0	1
jehu001neld03	jehu001	1905	1914	2de druk	1	1865	1956	Breda		jeugdliteratuur	roman	Felicie Jehu	Nel de ontembare	jehu001neld03_01.xml	jehu001neld01,jehu001neld03	Felicie Jehu	0	0	0	0	0	0	3	0	0	0
kiev001huti02	kiev001	1905	1916	2de druk	0	1858	1931	Hoofddorp		proza,jeugdliteratuur	roman	C.J. Kieviet	De hut in het bosch	kiev001huti02_01.xml	kiev001huti02,kiev001huti01	Cornelis Johannes Kieviet	0	0	0	0	6	11	1	0	0	0
lamb004heks02	lamb004	1905	1944	?	0	1856	1941	Pasoeroean (Java)	indon01	proza	roman	L.H.J. Lamberts Hurrelbrinck	De heks van Heinsbroek	lamb004heks02_01.xml	lamb004heks01,lamb004heks02	L.H.J. Lamberts Hurrelbrinck	0	0	0	0	0	15	1	0	0	0
